STYLE SECONDAIRE;NOM GROUPE;TITRE ALBUM;ANNEE;Lien titre 1;Lien titre 2;Lien titre 3;Label;Clip titre ;Clip titre 2;Lien groupe;mail contact;Origine;Telephone;Pochette ;Photo du Groupe
Metalcore;NSOLVENCY;Antagonism of the Soul;2018;https://www.deezer.com/fr/album/49671942;https://twitter.com/InsolvencyBand;https://www.youtube.com/channel/UC2W6PM_uKqYB8sPonznLNCg;;https://www.youtube.com/watch?v=OelO4oNw8xI;https://youtu.be/1PlCD54_ok8;https://www.facebook.com/InsolvencyBand/;insolvency@hotmail.fr;Troyes;;;
POST HARDCORE / MATH ROCK;Midnight Blackout;In Sheep's Clothing;2018;https://www.instagram.com/midnightbla;https://open.spotify.com/artist/4qqEz;https://www.youtube.com/channel/UCx90Hj9K0VOPsVcSsDb6Tyw;;https://youtu.be/ejrgDm6XmN0;https://youtu.be/qUMHRdZ9c8s;;midnightblackoutband@gmail.com;Paris;;;
Metalcore Melodique;Behind The Woods;Absence et First Breath;2018;;;;;https://www.facebook.com/1414430945529031/videos/2054274281287785;https://www.facebook.com/1414430945529031/videos/506412883190328/;https://www.facebook.com/Behind-The-Woods-1414430945529031/;;Marseille;;;
Rock Alternatif / Post Grunge;old;Since She left and stole my pride;2018;;;;Autoproduction;https://www.facebook.com/YoldRockBand/videos/2315659705333843/;https://www.facebook.com/YoldRockBand/videos/1033681220148093;https://www.facebook.com/YoldRockBand/;;Douai    (59);;;
Thrash // HxC // Metalcore;Desperhate;Stuck;2018;;;https://www.youtube.com/channel/UCXdoI9r-C8dcxhmOM0nbwOQ;;https://youtu.be/8r9j7tdXy5E;;https://www.facebook.com/Desperhate/;organdescent@gmail.com;Nantes;06 95 70 18 77;;
Hardcore;WALK AWAY;The Rosary;2018;;;https://www.youtube.com/channel/UCwWhf7cFSu6WYh_pOftVRCw;13 Guillotines Records.;https://youtu.be/FCnNgVliwZE;https://youtu.be/g5k5Qxfs16Q;https://www.facebook.com/walkawaycult/;walkawaycult13@gmail.com;Marseille;;;
Hardcore;PIEDBOUCHE -;PERSONAL WAR;2018;https://www.instagram.com/piedbouchehxc;https://piedbouche.bandcamp.com;https://www.youtube.com/channel/UCVydr4yVjZl_XowbuwDsYsw;;https://youtu.be/Xn_RUQJNe0U;https://youtu.be/ENRchtlr0Jk;https://www.facebook.com/piedbouche.hxc/;piedbouche.hxc@gmail.com;Strasbourg;;;
Blackened Crust/Grind/Hardcore;Pilori;La grande Terreur;2018;https://www.instagram.com/piloriband;http://pilori.bandcamp.com;https://www.youtube.com/channel/UCLppHWogrlR0RrgliN_sp9g;Terrain Vague;https://youtu.be/WyvNaq7R5G4;https://youtu.be/JrxylJPAhtA;https://www.facebook.com/pilori.band/;pilori.contact@gmail.com;Rouen;;;
BLACKENED DEATHCORE;Virgil;Sanctuary;2018;http://www.deezer.com/fr/album/49734142;https://open.spotify.com/album/3fE4ae6i4AQj4LnNUXRpx2;https://www.youtube.com/channel/UCLmNGciku8Flzio_lDThV0;M&0 Music;https://youtu.be/19gSkeilumM;https://youtu.be/CxZZlVtF2Sk;https://www.facebook.com/virgil.metal/;;Nord de la France;;;
ROCK/METAL/MATHCORE;AVA WOLFE;A DAME TO KILL FOR;2018;https://www.deezer.com/fr/artist/11293066;;https://www.youtube.com/channel/UCEfckiJnmGAAq0SFcWg4hNw;Uproar for Veneration records;https://youtu.be/E4wxyU-WKaw;https://youtu.be/4DOAOFv71NI;https://www.facebook.com/AVAWOLFEBAND/;management@avawolfeband.com;Dourges ( région LENS-ARRAS) - 62 FR;06 42 92 80 63;;
Death Core;FRCTRD;Tyrant;2018;https://www.twitter.com/wearetriumphant;http://www.wearetriumphant.com;https://www.youtube.com/channel/UCyK9TNAbcGrUoarmxKLJu7A;The Orchard Music (au nom de We Are Triumphant Records);https://youtu.be/S1SXoFz-F0E;;https://www.facebook.com/wearefrctrd/;frctrdband@gmail.com;Paris;;;
Progressive Rock Punk;Prungk;Prungk est désormais sur You Tube en nov 2018;2018;;http://prungk.bandcamp.com;https://www.youtube.com/channel/UCTMRJrjfAZy9b9rIXOdQGQA;;https://youtu.be/Ejj7JpPt5jI;https://youtu.be/lvoZ1Ef4HkY;https://www.facebook.com/Prungk/;;Pont-à-Mousson;;;
ROCK ALTERNATIF / HARD ROCK / MATH ROCK;JOKVS;Wasteland;2018;http://bit.ly/2xyOSCK;http://bit.ly/2wbcTML;https://www.youtube.com/channel/UCbn5yvsqSG_18JR3y6jNp4w;;https://youtu.be/f7N7ooSk72k;https://youtu.be/QipoZylOHow;https://www.facebook.com/JOKVSBAND/;www.jokvsband@gmail.com;Clermont-Ferrand;;;
Deathcore;It Came From Beneath;CLAIR OBSCUR;2018;https://www.deezer.com/album/76107862;https://open.spotify.com/album/58H89wybUCFnSjkjYQcJda;https://www.youtube.com/user/icfbtheband;Send The Wood Music;https://youtu.be/Uh1tlBUu5Bc;https://youtu.be/CLD2g3alMtc;https://www.facebook.com/icfbtheband/;icfbtheband@gmail.com;Lyon;06 86 16 19 63;;
Melodic Metalcore;Purge Of Sanity;We Are;2018;https://www.instagram.com/purgeofsani;;https://www.youtube.com/channel/UC7eYfWRye-UJ01u_UV9kueg;;https://youtu.be/lxCpuMrXH78;https://youtu.be/RZtlXqYC81Y;https://www.facebook.com/POSofficialBand/;purgeofsanityofficial@gmail.com;Nantes;;;
Hardore;THORN IN FLESH;Winchester;2018;;http://thorninfleshband.bandcamp.com;https://www.youtube.com/channel/UCazeTZpYlOZRzZ5PZbYdGhQ;;https://youtu.be/oTpETkh-xMo;https://youtu.be/jyGTurt6PnE;https://www.facebook.com/THORN-IN-FLESH-629390827197881/;thorninfleshmusic@gmail.com;France;;;
Deathcore;Solar Eruption;Hocus Pocus;2018;https://www.deezer.com/fr/album/78272322;https://open.spotify.com/album/09Td81;https://www.youtube.com/channel/UC3kDGDtDdG2nNiQlOiD9cZw;Unsigned;https://youtu.be/xdhw6FyvveI;https://youtu.be/ms5jaP0KvEs;https://www.facebook.com/solareruptionofficial/;contact@solareruptionofficial.com;Lille;;;
Pop hardcore;Syndrom;Fight Back;2018;https://twitter.com/BandSyndrom;https://syndrom.bandcamp.com/releases;https://www.youtube.com/channel/UChIgxSByQl8k3iI21cpl9Sw;;https://youtu.be/LzuodX1i-fA;https://youtu.be/N1-upexkQV0;https://www.facebook.com/BandSyndrom/;syndrombandfr@gmail.com;Mulhouse;06 77 82 44 27;;
Hardcore Metal crossover;beyond the Styx;Neoblivion;2018;https://open.spotify.com/album/4Pl4nL;https://beyondthestyx.bandcamp.com;https://www.youtube.com/channel/UCtFL6fY12jIY99IGwrYQ7ow;Klonosphere / Diorama Records;https://youtu.be/oLsH50kSKF0;https://youtu.be/9Ba_O_cU7CM;https://www.facebook.com/BTSTYX/;beyondthestyx@hotmail.fr;Tours;;;
post -Melodic hardcore;AFAR;No Landmark In The Void;2018;https://www.deezer.com/fr/artist/11378594;;https://www.youtube.com/channel/UCbb_dLqZ5XDyB1fIrq0KNjg;Seven Years A Weak Records;https://youtu.be/Yp31sNPWlnw;https://youtu.be/8NQlWatDx84;https://www.facebook.com/weareAFAR/;weareafar@gmail.com;Strasbourg;;;
