Death Metal|Warkunt|Into My Hell|janv.-18|https://www.deezer.com/en/artist/54209292?autoplay=tru|https://warkunt.bandcamp.com|https://www.youtube.com/channel/UCCIGIud0BoHumuCq_1wXETg|GREAT DANE RECORDS|https://youtu.be/bFNSHcSz4PE|https://youtu.be/k59McwWVkdo|https://www.facebook.com/warkunt/|warkunt.official@gmail.com|Strasbourg|06 30 08 54 69
Black Metal|Malepeste et Dysylumn|Ce qui fut, Ce qui est, Ce qui sera|oct.-18|https://malepeste.bandcamp.com/album/ce-qui-fut-ce-qui-est-ce-qui-sera|https://malepeste.bandcamp.com/album/ce-qui-fut-ce-qui-est-ce-qui-sera||Goathorned Productions|https://youtu.be/iniqkCYv4Qk||https://www.facebook.com/propheticscourge/||Montpellier, France|
Black Metal|Finis Omnivm|CERCLE|sept.-18|https://finisomniumband.bandcamp.com||https://www.youtube.com/channel/UCt7c_7gAVVNF7Ss9cPGQB5g|Autoproduction|https://youtu.be/5BdtI3Q8ZAA|https://youtu.be/9eGELnnjRUQ|https://www.facebook.com/finisomnivm/|finisomnium.band@gmail.com|Paris - London|
Melodic Death Metal|Voraphilya|Another Earth|sept.-18|https://twitter.com/hashtag/voraphilya|https://voraphilya.bandcamp.com|https://www.youtube.com/channel/UCqX-QWHKwUYKIeWL-f_CERA||https://youtu.be/-VjNVMu7mGY|https://youtu.be/XsBN6aj9rj4|https://www.facebook.com/VoraphilyaMetalBand/|voraphilyaofficial@gmail.com|Nancy|
Black Metal|Karne|Symposium of Torments|mai-18|https://karnebm.bandcamp.com|www.epictural.fr|https://www.youtube.com/watch?v=1pEpPZsC7KM&t=2s|Epictural Production|https://youtu.be/1pEpPZsC7KM|https://youtu.be/YI1It1xEm7k|https://www.facebook.com/karnebm/|karne@outlook.fr|France (East)|
Death Metal|ACOD|The Divine Triumph|oct.-18|https://www.deezer.com/fr/album/65092972|https://open.spotify.com/album/3Sb1iylWQIuw9iaQmGqcE6|https://www.youtube.com/channel/UCbBfE_MASHGLUkC36h533AA|Jive Epic / Sony Music Entertainment|https://youtu.be/f0x11bh21Z0|https://youtu.be/gQu8LQYYKmY|https://www.facebook.com/acodband/|acod@hotmail.fr|Marseille|
Progressive Black/Death Metal|Dysylumn|Occultation Full HD|sept.-18|https://twitter.com/hashtag/dysylumn||https://www.youtube.com/channel/UCl4U0rquz3OjZ1fViHgqCNQ|Egregor Records|https://youtu.be/TJwm98jbNM8|https://youtu.be/f6umPH0a1_Y|https://www.facebook.com/Dysylumn/||Montpellier, France|
Death Metal|Tempt Fate|Human Trap|sept.-18|https://www.deezer.com/fr/album/74189222|https://temptfate31.bandcamp.com|https://www.youtube.com/channel/UCBRwqxQ88108y2raf7l_pGQ||https://youtu.be/e8wK37_NT4s|https://youtu.be/Cw1-yGzUECM|https://www.facebook.com/temptfate31/|contact.temptfate@gmail.com|Toulouse / Albi / Rodez|
Brutal Death|Solar Eruption|Solar Eruption|sept.-18|||https://www.youtube.com/channel/UC3kDGDtDdG2nNiQlOiD9cZw|Unsigned|https://youtu.be/qb36PJ0xpq8|https://youtu.be/xdhw6FyvveI|https://www.facebook.com/solareruptionofficial/|contact@solareruptionofficial.com|Lille, FR|
Progressive Death Metal|Fractal Universe|En tournée sur l'automne 2018 en Europe|janv.-18|https://twitter.com/FractalUni||https://www.youtube.com/user/FractalUniverseMetal|Metal Blade Records|https://youtu.be/W7s1-XRdeIs|https://youtu.be/VIzb4I7SboA|https://www.facebook.com/fractaluniverseband/|fractaluniverseband@gmail.com|Nancy, France|
Death Metal|Prophetic Scourge|Calvary|sept.-18|https://www.deezer.com/en/album/73127562|https://propheticscourge.bandcamp.com/releases|https://www.youtube.com/channel/UCJSUkKUMJIz1MnhgoS8mxGA|Klonosphere / Season of Mist.|https://youtu.be/Thh5mvFQGRo|https://youtu.be/UiXsMEKRu3E|https://www.facebook.com/propheticscourge/|propheticscourge@gmail.com|Languedoc-Roussillon-Midi-Pyrénées|
Melodic Groove Metal, Death Metal|Mind Imperium|Way To Carcosa|sept.-18|http://www.mindimperium.com|https://mindimperium.bandcamp.com|https://www.youtube.com/channel/UCN6yhR32MjURtxLcmaZhAiA|Dark Faery Records|https://youtu.be/RcOg_rjwgmE|https://youtu.be/jPKnbgxj0yQ|https://www.facebook.com/MindImperiumMetal/|contact@mindimperium.com|Lyon|06 64 45 05 10
Modern Death Metal|CHABTAN|NINE LEVELS|avr.-18|https://open.spotify.com/album/3gp0GCH0KEHxexWlVe7Vds|https://darktunes.bandcamp.com/album/eleven|https://www.youtube.com/channel/UCzRzt1Vj_VWjpyg2X-vO49g|darkTunes Music Group|https://youtu.be/s13aQJXljaw|https://youtu.be/Lu16uqxAzhE|https://www.facebook.com/officialchabtan/|chabtan@hotmail.fr|Paris / France|
PROGRESSIVE DEATH METAL|Sadraen|Sadraen .. on Tour !!!!|janv.-18|https://twitter.com/sadraen|https://www.instagram.com/sadraen|https://www.youtube.com/watch?v=uZUAtga_yOA|M & O Music (Label)|https://youtu.be/uZUAtga_yOA|Orphan Lord|https://www.facebook.com/sadraenofficial/|contact@sadraen.com|Nord de la France|07 50 49 16 16
death metal old school|Freitot|FREITOT|mai-18|https://shop.season-of-mist.com/freitot-freitot-cd-digipak?___store=default_fr|https://www.deezer.com/fr/album/63075802|https://www.youtube.com/channel/UC103tiCal_uOftW_ob0aYpw|label Mystick|https://youtu.be/_vm1YDj1hhc|https://youtu.be/fEwuDS-pOLE|https://www.facebook.com/freitot/||Paris - Alès - Amiens|
Doom / Death / Black Metal|Utopian Despair|A Gate Toward Freedom|mars-18|https://www.jamendo.com/artist/426330/utopian-despair|https://utopiandespair1.bandcamp.com/releases|https://www.youtube.com/channel/UCjXwQPl6719PMynn3Vm-WfA||https://youtu.be/AoZyR2RQ6n8|https://youtu.be/lSCHzM0KmF0|https://www.facebook.com/utopiandespair/|aleph@hotmail.fr|Rouen|
