STYLE SECONDAIRE;NOM GROUPE;TITRE ALBUM;ANNEE;Lien titre 1;Lien titre 2;Lien titre 3;Label;Clip titre ;Clip titre 2;Lien groupe;mail contact;Origine;Telephone;Pochette ;Photo du Groupe
Dark Rock;MELT;Melt;2018;https://soundcloud.com/meltdarkrock;https://melt4.bandcamp.com/album/melt-2;https://www.youtube.com/channel/UC2znoC51w_8uln0ylvvaZ0A;FatCat Land records;https://youtu.be/1ls0eNrEL6I;https://youtu.be/cT-rvuZX76o;https://www.facebook.com/wearemelt;melt.prog@gmail.com;Toulouse;;;
Retro-Futuristic Metal;Wreck Plus;Wreck Plus;2018;;http://www.wreckplus.bandcamp.com;https://www.youtube.com/user/wreckplusdigitalbox;Autoproduction;https://youtu.be/yJXCO7bVUww;https://www.youtube.com/watch?v=uWeZEpRVHus;https://www.facebook.com/wreckplus;band@wreckplus.com;Paris;;;
Dark Progressive Metal;Veil of Mist;The Silent Frontier;2018;https://twitter.com/VeilOfMistOfcl;;https://www.youtube.com/user/wistfulJB;Valkyrie Rising;https://youtu.be/YQ-k_DCRTeQ;https://youtu.be/tjIxLQxNPkw;https://www.facebook.com/veilofmist;veilofmist.contact@gmail.com;Reims;;;
Ambient Doom;One With Me;Did you ever say farewell;2018;;http://onewithme.bandcamp.com;;;https://youtu.be/dZL_vqUUQPU;;https://www.facebook.com/onewithme;;Lille;;;
Metal;Theraphosa;Obession et The god within;2018;http://www.twitter.com/theraphosamusic;http://www.soundcloud.com/theraphosa;https://www.youtube.com/channel/UCDaRiwYHXhze6IjquG8OCRg;;https://youtu.be/TRzMIOPlDLM;https://youtu.be/eJC6aglf0C;https://www.facebook.com/theraphosamusic;contact@theraphosa.fr;Paris;;;
Metal;A Place To Die;A Place To Die;2018;https://www.instagram.com/aptdofficial;http://tinyurl.com/APTD-Deezer;https://www.youtube.com/channel/UCP53QLJbdEatNKNRvoeA0RA;;https://youtu.be/bO2eZbaUHUU;https://youtu.be/BfErNTbXB9w;https://www.facebook.com/APlaceToDi;;Paris;;;
Alternative Metal;Scarlean;DESTROYING DA STAGE/SECRET PLACE;2018;;https://twitter.com/scarlean;https://www.youtube.com/channel/UCHOnOxvRnRQ6qxLVthgAesg;GHOST PROD/MYSTYK PROD;https://youtu.be/IImKo5Kxq40;https://youtu.be/PZKLqhV2sH0;https://www.facebook.com/Scarlean/;scarleanband@yahoo.fr;Avignon, Provence-Alpes-Cote d'Azur;;;
Massive Rock / Alternative Metal;Rust Theory;Rust Theory;2018;;https://rusttheory.bandcamp.com;https://www.youtube.com/channel/UCB16kAbiVA_Gym5au5ztfSw;Black Desert Records;https://youtu.be/lut0bHhKXhY;https://youtu.be/omxD2onGxMw;https://www.facebook.K48com/rusttheor;contact@rusttheory.com;Nantes;;;
HORROR EBM METAL / INDUSTRIAL GROOVE METAL;Obszön Geschöpf;MASTER of GIALLO;2018;https://www.deezer.com/fr/artist/1249505;https://www.facebook.com/ObszonGeschopfOfficial;https://www.youtube.com/channel/UCnWgUXjZOLoZ1OrrdC_KUjw;Dark Star Records;https://youtu.be/G-keUg-QHr8;https://youtu.be/Vu79_bnpAAI;https://www.facebook.com/ObszonGeschopfOfficial/;obszon.geschopf@yahoo.fr;Boulogne sur mer / LILLE;;;
Symphonic Death Metal;Season Of Tears;DARK CARD;2018;https://www.instagram.com/seasonoftears;https://seasonoftears.bandcamp.com;https://www.youtube.com/channel/UC2NfIsFe5KZ8rtqOmD5NZxQ;;https://youtu.be/x2RcbwCyLEMy;https://youtu.be/_aTgGhpABGs;https://www.facebook.com/SeasonOfTears/;seasonoftearsband@gmail.com;Rennes;;;
Metal Industriel Gothique;Rosenkreuz;DIE;2018;https://www.deezer.com/fr/album/71855182?app_id=140685;https://open.spotify.com/album/3pc39PjNTsrs1sxS7C0HLQ;https://www.youtube.com/channel/UCeSYJlLOwP5JfKJgP5cFn-A;Adipocere Records;https://youtu.be/ELHkFq6zkIk;https://youtu.be/NHcBr2FvOZM;https://www.facebook.com/officialrosenkreuz/;rosenkreuz@outlook.com;Lyon;;;
Experimental Metal;SLAVEYES;DISASTER MYOPIA;2018;https://www.deezer.com/fr/artist/11594445;https://open.spotify.com/artist/30vi0U2nQKRy10d5ifaqFY;https://www.youtube.com/channel/UC2q5M5Ikc5AK6PTghDKxnpA;;https://youtu.be/q8g6TjmJsPM;https://youtu.be/qSRBwdqVKXA;https://www.facebook.com/slaveyes1/;slaveyes49@gmail.com;Toulon;;;
Female Fronted Metal with huge orchestra and choir;WHYZDOM;The Page;2018;;http://whyzdom.bigcartel.com;https://www.youtube.com/channel/UC1cpad0b9MBEUyH0ITXkJcA;Scarlet Records;https://youtu.be/CTxQZL1K5jY;;https://www.facebook.com/WHYZDOMproject/;;Paris;;;
Metal;NOTHING BUT ECHOES;Owe Nothing;2018;https://www.wearenothingbutechoes.com;;https://www.youtube.com/channel/UCDlIgHN1ukMQ6Azh6LldVZA;Autoproduction;https://youtu.be/oCxeXA30re8;https://www.youtube.com/watch?v=3qybe3LqhlQ;https://www.facebook.com/WEareNOTHINGBUTECHOES/;contact@wearenothingbutechoes.com;Nantes, France;;;
Metal from Nowhere;Voice Of Winter;Damocles;2018;https://www.deezer.com/fr/artist/11901115;https://open.spotify.com/artist/14O6pFhZXj9B1JFcAZ3OSs;https://www.youtube.com/channel/UCwNXzWZkF8nQO3OsbLK2_Yw;M.U.S.I.C Records;https://youtu.be/fX4dD_aPwd0;https://youtu.be/gs3m45fracY;https://www.facebook.com/vow.page/;666vow@gmail.com;France;01 75 18 46 44;;
Metal Industriel Expérimental;LECKS Inc.;K. K. K. in Your Head;2018;https://www.deezer.com/fr/album/65339332;;https://www.youtube.com/channel/UCMq5Lu9RFmTkIsP3x7RGm6Q;M & O Music (Label);https://www.youtube.com/watch?v=lsxby-rFZ6Y;https://www.facebook.com/LECKSInc/videos/906004769560429;https://www.facebook.com/LECKSInc/;lecks@hotmail.fr;Avignon;06 63 37 84 49;;
Métal alternatif;Elyx;Souffre avec moi;2018;;https://elyx.bandcamp.com;https://www.youtube.com/channel/UCpPX7Vfkn289y25vQxHSafA;Go Music/ Jump Music/ Elyxprod;https://youtu.be/c3mYrhAWzOI;https://youtu.be/GLrF0ryiUFw;https://www.facebook.com/elyxproject/;elyx_project@outlook.com;Fontenay-le-Comte, Clisson, Niort, Bordeaux et Toulouse;06 95 01 03 79;;
Cold wave Métal / Doom;Black Juju Inc.;Crosses and Crossroads;2018;;https://www.deezer.com/fr/artist/15069239;https://www.youtube.com/channel/UChpTguZ5DKYRNI5XR3iBV2Q;Music Records;https://youtu.be/8ZIL5l3WuoQ;https://youtu.be/AQReZtf8pUM;https://www.facebook.com/elyxproject/;;France;01 77 03 13 65;;
Darkthrone;Nuisible;Slaves and Snakes;2018;https://nuisible.bandcamp.com;https://www.deezer.com/fr/album/72591752;https://www.youtube.com/channel/UCoQ0Eg6YA3bntRG_Vr36jRA;Deadlight Entertainment, Terrain Vague et MALLEVS RECORDS.;https://youtu.be/DBcuPcYBsHY;https://www.youtube.com/watch?v=0pRaocvriHE;https://www.facebook.com/nuisiblehxc/;nuisiblehxc@hotmail.com;Evreux, Normandie;;;
Metal Alternatif;Monsters;Album;2018;;https://soundcloud.com/monsters-4;;;https://youtu.be/cOdmg2jbDs0;https://youtu.be/cOdmg2jbDs0;https://www.facebook.com/Monsterslament/;monsterz@orange.fr;Nord , France;;;
Pure Ragin Metal;FIT of RAGE;Dogs of God;2018;https://fitofrage.bandcamp.com;;https://www.youtube.com/channel/UCGzxWlDLOvlYDtA4EYYXoLA;;https://youtu.be/ws5hmHTk8O0;https://youtu.be/iEbo1iRziME;https://www.facebook.com/fitofrage/;fitofrage2010@gmail.com;Evreux, Normandie, FRANCE;09 83 22 35 46;;
Metal - Electro;Pavillon Rouge;Dynasteia Klub;2018;https://www.deezer.com/en/artist/7415048;https://open.spotify.com/album/5ME7iyxvJbKM0gyOPgIyXI;https://www.youtube.com/channel/UCKBuRKIW6flcLEjgdRJcoIA;Season of Mist;https://youtu.be/mTV6Oc3fDSQ;;https://www.facebook.com/LuxDiscipline/;sarah@dooweet.org;Grenoble;;;
Metal Insdustriel Experimental;MOON PROTOTYPE;Love and Hate;2018;https://www.discogs.com/artist/1552309-Moon-Prototype;https://www.metalorgie.com/groupe/Moon-Prototype;;Autoprod;https://youtu.be/neND497Cb70;;;;France Bretagne;;;
gothic rock and metal, new wave, coldwave, movie music.;Negative Ritual;Resurrection;2018;"LIEN.HYPERTEXTE(""https://www.deezer.com/en/artist/1508187";https://negative-ritual.wixsite.com/negative-ritual;https://negative-ritual.wixsite.com/negative-ritual;;https://youtu.be/cnrWaj6RQhQ;https://youtu.be/yvP9KTTzI-k;https://www.facebook.com/negativeritual/;drumagressor@gmail.com;Reins, Besançon;;;
Sludge;Black box warning;Attendre la mort;2018;https://blackboxwarning.bandcamp.com/release;;https://www.youtube.com/channel/UCYGC4jfswBaa0HsjQl0rQNQ;;https://youtu.be/5cq3aZsrT0E;https://youtu.be/BGb_YMsApbc;https://www.facebook.com/blackboxwarningmusic/;lananiklas@gmail.com;France;;;
Metal Melodique;EZOX;Crawl To Paradise;2018;https://ezox.bandcamp.com/releases;https://www.instagram.com/ezoxofficial;https://www.youtube.com/channel/UC449RiEvW3Dtj66B3UODfNw;Recuiem Prod;https://youtu.be/9FyhrHbEvQw;https://youtu.be/eisSmUStn7o;https://www.facebook.com/EZOX-427112267431140/;ezoxofficiel@gmail.com;Alès;;;
Djenty metal;The Fractal Illusion;Awakening;2018;https://thefractalillusion.bancamp.com;;https://www.youtube.com/channel/UCACTk1dYHmINyuVG7mS9tcQ;Autoproduction;https://youtu.be/3TNMuO_vtNI;https://youtu.be/kr4jPSkSP9o;https://www.facebook.com/TheFractalIllusion/;;Tours, France;;;
Rock Stoner progressif;Twisted Oaks;Album;2018;https://www.deezer.com/fr/album/50836462;https://open.spotify.com/album/66FhdWTDxVzOPuUEXtY7Xe;https://www.youtube.com/user/twistedoaksband;Independant;https://youtu.be/EfkBIQGgq4w;https://youtu.be/IcBPGhGuwUw;https://www.facebook.com/twistedoaksband/;twistedoakscontact@gmail.com;Ile de France;;;
Gothic Metal;Penumbra;Aion;2018;https://www.deezer.com/fr/artist/4020;https://open.spotify.com/artist/4LMOrQtDq76ar9W4d2FsRk;https://www.youtube.com/channel/UCkG7UmmWkMDTpP_MujZod6g;;https://youtu.be/lVQQyAhnNY0;https://youtu.be/I2oqATWjnvU;https://www.facebook.com/penumbra.band.official/;penumbra.fr@gmail.com;Paris;;;
Neo Metal;Dark Corpus;Martyr;2018;https://darkcorpus.bandcamp.com/releases;http://darkcorpus.free.fr;;;https://youtu.be/Mp3cW5AcNak;https://youtu.be/flhNMlFz9gQ;;darkcorpus@free.fr;Selestat;;;
Southern Metal;Overcharger;Origin;2018;https://soundcloud.com/overcharger;https://overcharger.bandcamp.com/releases;https://www.youtube.com/user/overchargermusic;Overpowered Records;https://youtu.be/pZu3Ok94R3o;https://youtu.be/CxrHQK49FIM;https://www.facebook.com/Overcharger-114318028659511/;Kriss@maximumtourmusic.com;Bordeaux, Aquitaine;;;
